"","distance","consume","speed","temp_inside","temp_outside","gas_type","AC","rain","sun","refill.liters","refill.gas"
"44",10.2,4.3,44,21.5,7,"E10",0,0,0,NA,""
"45",5.4,3.3,32,21.5,7,"SP98",0,0,0,37.6,"SP98"
"46",2,9.9,21,21.5,4,"SP98",0,0,0,NA,""
"47",14.2,5.1,32,21.5,7,"SP98",0,0,0,NA,""
"48",16,4.9,25,21.5,8,"SP98",0,0,0,NA,""
"49",11.8,4.9,25,21.5,11,"SP98",0,0,0,NA,""
"50",27.3,4.7,36,21.5,10,"SP98",0,0,0,NA,""
"51",11.8,5.1,29,21.5,5,"SP98",0,1,0,NA,""
"52",10.6,4.9,63,21.5,6,"SP98",0,0,0,NA,""
"53",11.6,4.2,61,21.5,7,"SP98",0,0,0,NA,""
"54",13.1,6.1,46,21.5,6,"SP98",0,1,0,NA,""
"55",6.1,6.4,28,21.5,8,"SP98",0,0,0,NA,""
"56",153.5,4.9,82,21.5,3,"SP98",0,1,0,NA,""
"57",11.8,4.9,24,21.5,7,"SP98",0,0,0,NA,""
"58",12.3,6.2,61,21.5,8,"SP98",0,0,0,NA,""
"59",12.4,4.2,57,21.5,8,"SP98",0,0,0,NA,""
"60",12.3,5.7,52,21.5,8,"SP98",0,1,0,NA,""
"61",2.9,7.9,18,21.5,9,"SP98",1,1,0,NA,""
"62",2.1,12.2,23,21.5,9,"SP98",1,1,0,NA,""
"63",9.8,5.8,24,21.5,6,"SP98",0,0,0,NA,""
"64",6.8,5.3,26,21.5,6,"SP98",0,0,0,NA,""
"65",12.4,5.4,24,21.5,7,"SP98",0,0,0,NA,""
"66",12.4,4.7,57,21.5,8,"SP98",0,0,0,NA,""
"67",11.8,4.6,41,21.5,6,"SP98",0,0,0,NA,""
"68",12.3,5.4,55,21.5,8,"SP98",0,0,0,NA,""
"69",14,4.3,40,21.5,8,"SP98",0,0,0,NA,""
"70",11.8,4.5,37,21.5,4,"SP98",1,0,0,NA,""
"71",12.3,5.2,55,21.5,12,"SP98",0,0,0,NA,""
"72",2,6.2,20,21.5,10,"SP98",0,0,0,NA,""
"73",13.9,5.1,29,21.5,6,"SP98",0,0,0,NA,""
"74",9.7,3.9,42,21.5,8,"SP98",0,0,0,NA,""
"75",11.6,5,25,21.5,6,"SP98",0,0,0,NA,""
"76",14.2,5.4,38,21.5,7,"SP98",0,0,0,NA,""
"77",11.8,4.5,39,21.5,6,"SP98",0,0,0,NA,""
"78",24.8,5.1,50,21.5,9,"SP98",0,0,0,NA,""
"79",12.4,4.7,56,21.5,7,"SP98",0,0,0,NA,""
"80",34.8,4,28,20,4,"SP98",0,0,0,NA,""
"81",14.2,5.4,36,20,6,"SP98",0,0,0,NA,""
"82",5.2,4.5,39,20,10,"SP98",0,0,0,NA,""
"83",10.5,3.6,42,20,10,"SP98",0,0,0,37.7,"SP98"
"84",12.3,5.2,57,20,10,"SP98",0,0,0,NA,""
"85",11.8,4.9,25,20,11,"SP98",0,0,0,NA,""
"86",12.3,6.2,58,20,11,"SP98",0,1,0,NA,""
"87",13.2,4.3,51,20,11,"SP98",0,1,0,NA,""
"88",13,5,45,20,11,"SP98",0,1,0,NA,""
"89",12.9,5.1,32,20,11,"SP98",0,0,0,NA,""
"90",13.9,5.6,22,20,8,"SP98",0,0,0,NA,""
"91",11.8,4.3,37,20,6,"SP98",0,0,0,NA,""
"92",12.2,5.8,60,20,11,"SP98",0,0,0,NA,""
"93",12.5,4,51,20,13,"SP98",0,0,0,NA,""
"94",12.4,4.7,43,NA,10,"SP98",0,0,0,NA,""
"95",11.8,5.9,21,20,9,"SP98",1,1,0,NA,""
"96",11.8,5.3,52,NA,11,"SP98",0,0,0,NA,""
"97",12.5,4.2,57,20,11,"SP98",0,0,0,NA,""
"98",15.7,5.3,33,NA,9,"SP98",0,0,0,NA,""
"99",12.9,5.7,35,NA,9,"SP98",0,0,0,NA,""
"100",6.4,4.4,37,NA,10,"SP98",0,0,0,NA,""
"101",5.3,4.1,34,NA,9,"SP98",0,0,0,NA,""
"102",26.2,5.8,71,21,8,"SP98",1,1,0,NA,""
"103",18.8,5,62,NA,9,"SP98",0,1,0,NA,""
"104",4.9,6.9,25,21,12,"SP98",0,1,0,NA,""
"105",12.4,5.4,18,21,11,"SP98",1,1,0,NA,""
"106",22.9,5.3,45,20.5,7,"SP98",0,0,0,NA,""
"107",162.7,5.5,75,23,1,"SP98",0,0,0,45,"SP98"
"108",4.9,6.5,26,21,1,"SP98",0,0,0,NA,""
"109",11.8,4.7,36,21,4,"SP98",0,0,0,NA,""
"110",16.6,5.1,56,21,7,"SP98",0,0,0,NA,""
"111",12.4,5.7,37,21,7,"SP98",0,0,0,NA,""
"112",15.9,5.4,25,21,7,"SP98",0,0,0,NA,""
"113",5.1,8.7,21,23.5,5,"SP98",0,0,0,NA,""
"114",22.4,4.9,66,20.5,7,"SP98",0,0,0,NA,""
"115",31.1,4.7,42,20.5,7,"SP98",0,0,0,NA,""
"116",4.9,6.3,27,20.5,3,"SP98",0,0,0,NA,""
"117",11.8,5.1,26,23,4,"SP98",0,1,0,NA,""
"118",22.9,6,42,23,4,"SP98",0,1,0,NA,""
"119",12.4,4.6,38,23,1,"SP98",0,1,0,NA,""
"120",12.9,5.8,40,23,4,"SP98",0,0,0,NA,""
"121",11.8,5.1,43,23,0,"SP98",0,0,0,NA,""
"122",12.2,5.8,58,23,2,"SP98",0,0,0,NA,""
"123",24.8,4.6,55,23,3,"SP98",0,0,0,NA,""
"124",14.2,5.6,24,23,8,"SP98",0,0,0,NA,""
"125",11.8,4.6,38,23,0,"SP98",0,1,0,NA,""
"126",12.2,6.3,57,23,0,"SP98",0,1,0,NA,""
"127",24.7,5.5,56,25,1,"SP98",0,0,0,NA,""
"128",6.8,4.3,46,24,2,"SP98",0,0,0,NA,""
"129",17.3,5.6,37,21.5,1,"SP98",0,0,0,NA,""
"130",11.8,4.3,44,21.5,-3,"SP98",0,0,0,NA,""
"131",15.9,5.7,46,21.5,5,"SP98",0,0,0,NA,""
"132",5.1,6.4,39,21.5,4,"SP98",0,0,0,NA,""
"133",16.1,4.5,33,21.5,6,"SP98",0,0,0,NA,""
"134",11.8,4.5,43,21.5,3,"SP98",0,0,0,NA,""
"135",4.2,6,26,21.5,5,"SP98",0,0,0,NA,""
"136",17.4,5.1,30,21.5,5,"SP98",0,0,0,NA,""
"137",23.5,6,25,21.5,5,"SP98",0,1,0,NA,""
"138",11.8,4.5,38,21.5,5,"SP98",0,1,0,NA,""
"139",12.3,6.1,61,21.5,10,"SP98",0,1,0,NA,""
"140",16.1,5.4,24,21.5,7,"E10",0,1,0,38,"E10"
"141",11.8,4.3,40,21.5,10,"E10",0,1,0,NA,""
"142",12.3,5.4,58,21.5,13,"E10",0,0,0,NA,""
"143",12.4,4.3,49,21.5,17,"E10",0,0,0,NA,""
"144",7,5.2,25,21.5,17,"E10",0,0,0,NA,""
"145",11.8,4.1,37,21.5,10,"E10",0,0,0,NA,""
"146",20.1,4.4,41,21.5,18,"E10",0,0,0,NA,""
"147",20.8,4.5,45,21.5,10,"E10",0,0,0,NA,""
"148",1.7,10.8,14,21.5,10,"E10",0,1,0,NA,""
"149",35.9,4.7,45,21.5,12,"E10",0,0,0,NA,""
"150",36.9,4.8,52,21.5,5,"E10",0,0,0,NA,""
"151",16.8,4,46,21.5,8,"E10",0,0,0,NA,""
"152",9.9,5,28,21.5,9,"E10",0,0,0,NA,""
"153",22.9,4.6,61,21.5,7,"E10",0,1,0,NA,""
"154",17.3,5,61,21.5,6,"E10",1,1,0,NA,""
"155",11.8,4.3,37,21.5,7,"E10",0,0,0,NA,""
"156",36.6,5.2,80,21.5,7,"E10",0,1,0,NA,""
"157",44.9,4.7,62,21.5,8,"E10",0,0,0,NA,""
"158",11.8,4.2,34,21.5,9,"E10",0,1,0,NA,""
"159",21.6,5.3,44,21.5,9,"E10",0,1,0,NA,""
"160",39.4,5.3,60,21.5,9,"E10",0,1,0,NA,""
"161",5.1,8.1,39,21.5,4,"E10",0,0,0,NA,""
"162",26.6,4.8,38,21.5,7,"E10",0,0,0,NA,""
"163",53.2,5.1,71,21.5,2,"E10",0,0,0,NA,""
"164",18.9,4.4,53,21.5,2,"E10",0,0,0,NA,""
"165",43.5,5,80,21.5,3,"E10",0,0,0,NA,""
"166",6.1,6.3,26,21.5,5,"E10",0,0,0,NA,""
"167",16.4,4.8,49,21.5,5,"E10",0,0,0,NA,""
"168",12.3,6.1,40,21.5,6,"E10",0,0,0,NA,""
"169",21.1,4.6,36,21.5,8,"E10",0,0,0,NA,""
"170",21.1,4.8,43,21.5,7,"E10",0,0,0,NA,""
"171",22.7,4.7,55,21.5,6,"E10",0,0,0,NA,""
"172",44.4,4.8,38,21.5,8,"E10",0,0,0,38.3,"E10"
"173",35.8,4.4,51,21.5,6,"E10",0,0,0,NA,""
"174",11.8,4.9,44,21.5,0,"E10",0,0,0,NA,""
"175",26.2,4.9,42,21.5,6,"E10",0,0,0,NA,""
"176",40.6,4.4,44,21,3,"E10",0,0,0,NA,""
"177",12.4,5.3,38,21,-5,"E10",0,0,0,NA,""
"178",14.1,5.3,47,21,-3,"E10",0,0,0,NA,""
"179",58.7,4.8,75,21,0,"E10",0,0,0,NA,""
"180",16.2,5.2,29,21,0,"E10",0,0,0,NA,""
"181",12.3,4.9,50,22.5,0,"E10",0,0,0,NA,""
"182",12.3,7.1,52,22.5,0,"E10",1,1,0,NA,""
"183",12.4,5.2,51,22.5,1,"E10",0,0,0,NA,""
"184",31.8,4.7,59,22.5,3,"E10",0,0,0,NA,""
"185",12.3,5.1,55,22.5,8,"E10",0,0,0,NA,""
"186",51.6,5,73,22.5,12,"E10",0,0,0,NA,""
"187",38.6,4.6,44,22.5,10,"E10",0,0,0,NA,""
"188",12.3,4.8,41,22.5,7,"E10",0,0,0,NA,""
"189",81.2,4.4,69,22,13,"E10",0,0,0,NA,""
"190",130.3,4.6,85,22,12,"E10",0,0,0,NA,""
"191",67.2,4.3,67,22,18,"E10",0,0,0,NA,""
"192",43.7,4.7,44,22,9,"SP98",0,1,0,10,"SP98"
"193",12.1,4.2,43,22,4,"SP98",0,0,0,39,"SP98"
"194",56.1,4.8,82,22,13,"SP98",0,0,0,NA,""
"195",39,4.1,61,22,16,"SP98",0,0,0,NA,""
"196",11.8,4.5,41,21.5,13,"SP98",0,0,0,NA,""
"197",38.5,4.8,63,21.5,14,"SP98",0,0,0,NA,""
"198",28.2,4.6,54,21.5,14,"SP98",0,0,0,NA,""
"199",2.9,7.4,24,21.5,14,"SP98",0,0,0,NA,""
"200",6.1,5.6,24,21.5,13,"SP98",0,0,0,NA,""
"201",19.6,4.9,43,21.5,13,"SP98",0,0,0,NA,""
"202",22.2,3.8,42,NA,15,"SP98",0,0,0,NA,""
"203",13.6,4.5,44,19,18,"SP98",0,0,0,NA,""
"204",12.6,4.1,33,NA,17,"SP98",0,0,0,NA,""
"205",8.7,5.3,28,22.5,12,"SP98",1,1,0,NA,""
"206",7.9,4.7,31,22.5,12,"SP98",1,0,0,NA,""
"207",2.4,9,26,20,10,"SP98",0,0,0,NA,""
"208",4.9,6.3,26,20,10,"SP98",0,0,0,NA,""
"209",18.1,3.6,36,20,19,"SP98",0,0,0,NA,""
"210",25.9,3.7,39,20,21,"SP98",0,0,0,NA,""
"211",1.3,11.5,21,20,10,"SP98",0,0,0,NA,""
"212",14.1,5,22,20,12,"SP98",0,0,0,NA,""
"213",13.4,5.5,31,20,9,"SP98",0,0,0,NA,""
"214",6.4,4.7,33,20,8,"SP98",0,0,0,NA,""
"215",12.9,4.5,42,20,13,"SP98",0,0,0,NA,""
"216",12.1,4.4,33,22.5,5,"SP98",0,0,0,NA,""
"217",15.7,4.1,32,22.5,13,"SP98",0,0,0,NA,""
"218",16.2,4.4,26,22.5,11,"SP98",0,0,0,NA,""
"219",12.8,4.6,22,22.5,12,"SP98",0,0,0,NA,""
"220",19,4.4,58,22.5,17,"SP98",0,0,1,NA,""
"221",29,4,27,22.5,12,"SP98",0,0,0,NA,""
"222",12.1,5,32,22.5,9,"SP98",0,0,0,NA,""
"223",12.3,5.2,55,22.5,10,"SP98",0,0,0,NA,""
"224",24.8,4,56,22.5,11,"SP98",0,0,0,NA,""
"225",12.9,5.1,34,22.5,8,"SP98",0,1,0,NA,""
"226",11.8,4.5,39,22.5,3,"SP98",0,0,0,NA,""
"227",31.4,4.6,62,22.5,11,"SP98",0,0,0,NA,""
"228",19,5.1,53,22.5,4,"SP98",0,1,0,NA,""
"229",13,5.7,38,22.5,3,"SP98",1,1,0,NA,""
"230",11.8,4.8,42,22.5,2,"SP98",0,0,0,NA,""
"231",13,6.2,32,22.5,4,"SP98",0,0,0,NA,""
"232",11.8,5,43,22.5,1,"SP98",0,0,0,NA,""
"233",27.1,5,69,22.5,8,"SP98",0,0,0,NA,""
"234",5.2,4.6,38,22.5,8,"SP98",0,0,0,NA,""
"235",19,4.5,29,22.5,10,"E10",0,0,0,39,"E10"
"236",12.4,4.8,38,22.5,1,"E10",0,0,0,NA,""
"237",25.2,5,55,22.5,9,"E10",0,0,0,NA,""
"238",14.3,4.8,36,22.5,10,"E10",0,0,0,NA,""
"239",11.8,4.6,40,22.5,2,"E10",0,0,0,NA,""
"240",16.9,4.5,48,22.5,9,"E10",0,0,1,NA,""
"241",12.4,4.6,55,22.5,11,"E10",0,0,1,NA,""
"242",17.4,4.4,36,22.5,12,"E10",0,0,1,NA,""
"243",9.2,5.7,33,22.5,8,"E10",0,1,0,NA,""
"244",12.3,5.8,54,22.5,10,"E10",0,1,0,NA,""
"245",13,5.9,32,22.5,10,"E10",0,0,0,NA,""
"246",11.8,6.1,16,22.5,6,"E10",0,1,0,NA,""
"247",13,5.7,37,22.5,11,"E10",0,1,0,NA,""
"248",12.3,5,42,22.5,10,"E10",0,0,0,NA,""
"249",12.3,5.2,57,22.5,15,"E10",0,0,1,NA,""
"250",12.5,4.3,57,22.5,16,"E10",0,0,1,NA,""
"251",31.5,4.1,30,22.5,16,"E10",0,0,1,NA,""
"252",11.8,4.4,42,22.5,8,"E10",0,0,0,NA,""
"253",24.9,4.5,53,22.5,14,"E10",0,0,0,NA,""
"254",17,3.9,46,22.5,14,"E10",0,0,1,NA,""
"255",2,8.1,20,22.5,14,"E10",0,0,0,NA,""
"256",11.8,4.4,33,22.5,8,"E10",0,0,0,NA,""
"257",7.4,5,31,22.5,12,"E10",0,0,0,NA,""
"258",12.4,4.7,55,22.5,14,"E10",0,0,1,NA,""
"259",2,6,22,22.5,14,"E10",0,0,0,NA,""
"260",14,5,41,22.5,8,"E10",0,0,0,NA,""
"261",25.7,5,45,22.5,7,"E10",0,0,0,NA,""
"262",24.5,3.9,50,NA,15,"E10",0,0,1,NA,""
"263",11.8,4.5,28,22.5,12,"E10",0,0,0,NA,""
"264",4.1,5.4,24,22.5,13,"E10",0,0,0,NA,""
"265",4.2,5.6,29,22,17,"E10",0,0,0,NA,""
"266",4.2,3.9,29,22,18,"E10",0,0,1,NA,""
"267",16,4,40,22,10,"E10",0,0,0,NA,""
"268",22.9,4,29,NA,21,"E10",0,0,0,NA,""
"269",16,3.8,42,NA,8,"E10",0,0,0,NA,""
"270",15.4,4.5,50,22,14,"E10",0,0,0,NA,""
"271",16,3.8,41,22,12,"E10",0,0,0,NA,""
"272",4.2,5.6,32,22,18,"E10",0,0,0,NA,""
"273",101.9,5.2,75,22,18,"E10",0,0,0,NA,""
"274",93.9,4.8,88,23,18,"E10",1,0,1,NA,""
"275",25.7,4.9,50,22,10,"SP98",0,1,0,41,"SP98"
"276",16,4.1,40,22,10,"SP98",0,0,0,NA,""
"277",16.1,4.5,32,22,19,"SP98",0,0,0,NA,""
"278",16,4.4,40,22,7,"SP98",1,1,0,NA,""
"279",16,4.5,41,22,11,"SP98",0,0,0,NA,""
"280",24.7,4.5,26,22,10,"SP98",0,0,0,NA,""
"281",16,3.9,42,22,8,"SP98",0,0,0,NA,""
"282",15.4,4.6,43,22,16,"SP98",0,0,0,NA,""
"283",16,3.8,40,22,8,"SP98",0,0,0,NA,""
"284",32.1,4.5,50,22,16,"SP98",0,0,0,NA,""
"285",25.9,4.4,40,22,14,"SP98",0,0,0,NA,""
"286",48.6,4.3,44,22,12,"SP98",0,0,0,NA,""
"287",37.2,4,45,22,20,"SP98",0,0,1,NA,""
"288",28.8,3.9,35,22,15,"SP98",0,0,1,NA,""
"289",6.7,5,30,22,17,"SP98",0,0,0,NA,""
"290",7.4,4.1,25,22,18,"SP98",0,0,1,NA,""
"291",17.3,4.1,22,22,25,"SP98",0,0,1,NA,""
"292",6.6,5.6,43,22,16,"SP98",0,0,0,NA,""
"293",14.3,4.1,26,22,20,"SP98",0,0,0,NA,""
"294",13.3,4.6,33,22,18,"SP98",0,0,0,NA,""
"295",8.3,4.9,26,22,23,"SP98",0,0,0,NA,""
"296",12.7,4.5,39,22,27,"SP98",0,0,1,NA,""
"297",16.5,4.1,47,22,14,"SP98",0,0,0,NA,""
"298",20.6,4.1,38,22,21,"SP98",0,0,0,NA,""
"299",16.3,4.5,58,22,16,"SP98",0,0,0,NA,""
"300",18.7,4.2,65,25,18,"SP98",1,0,1,NA,""
"301",36.5,3.9,54,23,18,"SP98",0,0,1,NA,""
"302",19,5,35,22,15,"SP98",1,0,1,NA,""
"303",16.6,4.4,46,22,5,"SP98",1,0,0,NA,""
"304",29.9,4.5,32,22,18,"SP98",1,0,0,NA,""
"305",16,3.8,42,22,11,"SP98",0,0,0,NA,""
"306",21.1,5.1,33,22,10,"SP98",0,1,0,NA,""
"307",16,3.9,40,22,10,"SP98",0,0,0,NA,""
"308",11.9,5.3,34,22,13,"SP98",0,0,0,NA,""
"309",10.1,4.2,35,22,16,"SP98",0,0,0,NA,""
"310",31.9,4.3,33,22,16,"SP98",0,0,0,NA,""
"311",18.7,4,60,22,13,"SP98",0,0,0,NA,""
"312",10.8,4.7,48,22,17,"SP98",0,0,1,NA,""
"313",19.8,4,56,22,17,"SP98",0,0,1,NA,""
"314",11.3,4.3,38,22,17,"SP98",0,0,0,37,"SP98"
"315",11.5,5.3,53,22,15,"SP98",0,0,0,NA,""
"316",21.4,5.2,51,22,13,"SP98",0,0,0,NA,""
"317",32,4.9,53,22,15,"SP98",0,0,0,NA,""
"318",41.9,4.7,53,22,14,"SP98",0,0,0,NA,""
"319",211,4.6,80,22,20,"SP98",0,0,0,NA,""
"320",216.1,5.3,90,22,21,"SP98",0,0,1,NA,""
"321",25.5,3.6,27,22,27,"SP98",0,0,1,NA,""
"322",16.6,4.2,52,22,15,"SP98",0,1,0,NA,""
"323",25.9,4.1,43,22,24,"SP98",0,0,0,NA,""
"324",16.5,4,48,22,15,"SP98",0,0,0,NA,""
"325",22.1,3.9,29,22,26,"SP98",0,0,0,NA,""
"326",16.6,3.7,49,22,17,"E10",0,0,0,37.7,"E10"
"327",15.4,4.5,43,22,24,"E10",0,0,0,NA,""
"328",16.5,3.9,43,22,17,"E10",0,0,0,NA,""
"329",15.4,5.1,21,22,24,"E10",0,0,0,NA,""
"330",18.4,4.2,59,22,24,"E10",0,0,0,NA,""
"331",39.5,4.2,58,22,25,"E10",0,0,0,NA,""
"332",21.5,4.8,47,25,27,"E10",1,0,1,NA,""
"333",4.8,4.7,26,25,18,"E10",0,0,0,NA,""
"334",100.9,4.7,87,23.5,22,"E10",0,0,0,NA,""
"335",129.7,4.6,58,24,21,"E10",0,0,0,NA,""
"336",16.6,3.8,43,21.5,16,"E10",0,0,0,NA,""
"337",15.4,4.2,50,21.5,21,"E10",0,0,0,NA,""
"338",16,3.7,45,22,17,"E10",0,0,0,NA,""
"339",16,4.2,41,22,15,"E10",0,0,0,NA,""
"340",15.4,4.1,45,22,24,"E10",0,0,0,NA,""
"341",16,4,43,22,16,"E10",0,0,0,NA,""
"342",21,3.8,37,22,21,"E10",0,0,0,NA,""
"343",15.4,3.8,47,22,24,"E10",0,0,0,NA,""
"344",16,3.8,42,22,17,"E10",0,0,0,NA,""
"345",16.1,5.1,30,25,16,"E10",1,1,0,NA,""
"346",16,4,42,22,15,"E10",0,0,0,NA,""
"347",15.4,4.8,40,22,18,"E10",0,0,0,NA,""
"348",17.2,3.9,35,22,16,"E10",0,0,0,NA,""
"349",16.6,4.6,50,22,25,"E10",0,0,0,NA,""
"350",18.3,4.3,46,22,16,"SP98",0,0,0,37.2,"SP98"
"351",16.1,4.8,36,22,18,"SP98",0,1,0,NA,""
"352",16,4.1,46,22,17,"SP98",0,0,0,NA,""
"353",16.3,4,35,22,23,"SP98",0,0,0,NA,""
"354",16,3.7,44,22,16,"SP98",0,0,0,NA,""
"355",18.3,4.3,46,22,23,"SP98",0,0,0,NA,""
"356",4.5,5.2,23,22,23,"SP98",0,0,1,NA,""
"357",17,4.2,48,22,16,"SP98",0,0,0,NA,""
"358",6.1,5,35,24.5,18,"SP98",0,0,0,NA,""
"359",6.1,5,33,22,24,"SP98",0,0,1,NA,""
"360",17.3,4.2,36,22,22,"SP98",0,0,0,NA,""
"361",6,4.8,27,22,17,"SP98",0,0,0,NA,""
"362",16,4.1,45,22,15,"SP98",0,0,0,NA,""
"363",15.4,4.9,55,22,18,"SP98",0,0,0,NA,""
"364",15.4,4.3,39,22,23,"SP98",0,0,0,NA,""
"365",16,3.9,35,22,18,"SP98",0,0,0,NA,""
"366",15.4,4.5,52,22,26,"SP98",0,0,0,NA,""
"367",16.6,4.1,48,25.5,30,"SP98",1,0,1,NA,""
"368",15.4,5,48,25.5,31,"SP98",1,0,0,NA,""
"369",16,4,43,22,21,"SP98",1,0,0,NA,""
"370",15.4,4.5,42,22,30,"SP98",0,0,0,NA,""
"371",16,3.6,43,22,19,"SP98",0,0,0,NA,""
"372",20.9,4.1,33,22,21,"SP98",0,0,0,NA,""
"373",32.1,3.9,47,22,26,"SP98",0,0,0,NA,""
"374",15.3,6.6,16,24,27,"SP98",1,0,0,NA,""
"375",28.5,4,44,25,23,"SP98",1,0,0,NA,""
"376",11.9,3.7,33,25,19,"SP98",0,0,0,NA,""
"377",14.5,4.3,36,25,22,"SP98",0,0,0,NA,""
"378",16.6,4.1,49,22,26,"SP98",0,0,1,NA,""
"379",16.2,4.4,39,24.5,17,"SP98",1,0,0,NA,""
"380",16.7,3.8,44,24.5,23,"SP98",0,0,1,NA,""
"381",8.3,5,52,24.5,27,"SP98",0,0,0,NA,""
"382",5.5,3.7,33,24.5,28,"SP98",0,0,1,NA,""
"383",13.6,3.7,33,24.5,28,"SP98",0,0,1,NA,""
"384",16,3.7,39,24.5,18,"SP98",0,0,0,NA,""
"385",16.1,4.3,38,25,31,"SP98",1,0,0,NA,""
"386",16,3.8,45,25,19,"SP98",0,0,0,NA,""
"387",15.4,4.6,42,25,31,"SP98",1,0,0,NA,""
"388",14.7,5,25,25,30,"SP98",1,0,0,NA,""
